id,texto,tema,sentimiento
59,el uso de chatgpt y otras ia en la universidad amenaza el pensamiento critico al fomentar la delegacion cognitiva,perdida de autonomia humana por algoritmos e ia,negativo
60,los algoritmos de la ia no son neutrales amplifican prejuicios perpetuan desigualdades y operan sin transparencia,perdida de autonomia humana por algoritmos e ia,negativo
61,delegar el razonamiento en algoritmos provoca perdida de responsabilidad anticipacion y memoria,perdida de autonomia humana por algoritmos e ia,negativo
62,la inteligencia artificial representa una nueva fase de control total orientada a vigilar clasificar y moldear a la sociedad,perdida de autonomia humana por algoritmos e ia,negativo
63,el mayor riesgo de la inteligencia artificial es la concentracion de poder rentabilidad y control en pocas empresas,perdida de autonomia humana por algoritmos e ia,negativo
64,la inteligencia artificial hace posible satisfacer necesidades humanas con minimo esfuerzo transformando radicalmente la organizacion social,perdida de autonomia humana por algoritmos e ia,neutral
65,el desarrollo de la inteligencia artificial requiere reglas humanas basadas en transparencia equidad y control humano,perdida de autonomia humana por algoritmos e ia,neutral
66,una generacion entera usada como experimento digital pantallas desde la cuna redes sin filtro hiperestimulacion constante y ahora estamos viendo las consecuencias retrasos en el desarrollo cognitivo y emocional incapacidad para sostener atencion y dialogo profundo falta de empatia y dificultad para gestionar frustracion,generacion z y redes sociales,negativo
67,las redes sociales prometieron conexion y mas bien terminaron siendo comparacion se crearon con la idea de compartir y terminaron siendo un espacio para exhibir vidas editadas y felicidades filtradas,generacion z y redes sociales,negativo
68,los estudios de los jovenes de hoy generacion z muestran el impacto de crecer con las redes sociales mas aislamiento y depresion aunque menos drogadiccion y mayor esfuerzo academico,generacion z y redes sociales,negativo
69,las personas que viven mas en las redes que en la vida real se desvinculan del entorno fisico la hiperconectividad elimina habilidades sociales y resolutivas,generacion z y redes sociales,negativo
70,la perdida de la capacidad de atencion en los jovenes debido al uso excesivo de tecnologias el scrolling infinito se ha convertido en una forma de existir,generacion z y redes sociales,negativo
71,generacion z acelerada fragmentada y manipulada vive entre la ansiedad la multitarea y la falta de coherencia interna lo que la vuelve vulnerable al hiperconsumo,generacion z y redes sociales,negativo
72,han estado perdidos en el ciberespacio toda su vida y ahora deben lidiar con la realidad historica no pueden ser ninos para siempre,generacion z y redes sociales,negativo
73,la sociedad se esta volviendo hiperfragil a gran velocidad por el uso excesivo de redes y pantallas desde la infancia,generacion z y redes sociales,negativo
74,cambio estructural en la infancia se reemplazo el juego y la exploracion por pantallas hiperconectadas vigiladas y mediadas por redes sociales,generacion z y redes sociales,negativo
75,por que la generacion z es considerada la mas solitaria la soledad aparece incluso entre agendas llenas y redes saturadas de contactos,generacion z y redes sociales,negativo
76,las redes sociales estan precarizando cognitivamente a la gente no procesan informacion y se quedan con lo ya pensado o mostrado,generacion z y redes sociales,negativo
77,es vergonzoso ver como la gente no puede expresar gustos sin insultos por eso las nuevas generaciones evitan cada vez mas las redes,generacion z y redes sociales,negativo
78,crecieron en hiperconectividad sobreprotegidos fisicamente pero expuestos sin filtros en lo digital con altos niveles de ansiedad y desconexion personal,generacion z y redes sociales,negativo
79,el uso de funciones como la geolocalizacion en redes refleja una necesidad de control asociada a la ansiedad,generacion z y redes sociales,negativo
80,este estudio demuestra como la inteligencia artificial restringe la autonomia humana y reduce habilidades cognitivas y emocionales,autonomia humana e inteligencia artificial,negativo
81,la dependencia excesiva de la inteligencia artificial perjudica el pensamiento critico y disminuye la autonomia cognitiva humana,autonomia humana e inteligencia artificial,negativo
82,cuando la ia reemplaza el esfuerzo de comprender el cerebro reduce su actividad la memoria se debilita y la atencion se fragmenta,autonomia humana e inteligencia artificial,negativo
83,la inteligencia artificial esta reescribiendo la infancia creando adultos brillantes pero fragiles al crecer en burbujas algoritmicas,autonomia humana e inteligencia artificial,negativo
84,el uso de ia en la universidad cuestiona el pensamiento critico por la delegacion cognitiva en algoritmos,autonomia humana e inteligencia artificial,negativo
85,la ia no es neutral amplifica prejuicios perpetua desigualdades y actua sin transparencia ni supervision etica,autonomia humana e inteligencia artificial,negativo
86,delegar el razonamiento provoca perdida de memoria responsabilidad y anticipacion es el germen del colapso tecnico,autonomia humana e inteligencia artificial,negativo
87,la inteligencia artificial representa una nueva fase de control total orientada a vigilar clasificar y moldear conductas,autonomia humana e inteligencia artificial,negativo
88,el verdadero riesgo de la inteligencia artificial es la concentracion de poder rentabilidad y control en pocas empresas,autonomia humana e inteligencia artificial,negativo
89,la inteligencia artificial permite satisfacer necesidades con minimo esfuerzo humano pero plantea desafios profundos para la autonomia,autonomia humana e inteligencia artificial,negativo
90,un estudio indica que la generacion z mantiene un maximo de ocho segundos de atencion debido a la hiperconexion y distraccion de las pantallas,generacion z y redes sociales,negativo
91,las redes sociales prometieron conexion pero terminaron siendo comparacion y exhibicion de vidas editadas,generacion z y redes sociales,negativo
92,los estudios sobre la generacion z muestran mas aislamiento y depresion aunque menos drogadiccion y mayor esfuerzo academico,generacion z y redes sociales,negativo
93,quienes viven mas en redes que en la vida real se desvinculan del entorno fisico y pierden habilidades sociales y resolutivas,generacion z y redes sociales,negativo
94,el uso excesivo de tecnologias reduce la capacidad de atencion y el scrolling infinito se convierte en una forma de existir,generacion z y redes sociales,negativo
95,la generacion z vive acelerada fragmentada y ansiosa lo que la vuelve vulnerable al hiperconsumo y al individualismo extremo,generacion z y redes sociales,negativo
96,han vivido siempre en el ciberespacio y ahora enfrentan la dificultad de habitar la historia real,generacion z y redes sociales,negativo
97,el uso excesivo de pantallas desde la infancia esta volviendo a la sociedad cada vez mas hiperfragil,generacion z y redes sociales,negativo
98,la infancia basada en juego y exploracion fue reemplazada por pantallas hiperconectadas vigiladas y mediadas por redes sociales,generacion z y redes sociales,negativo
99,la generacion z es considerada la mas solitaria aun estando rodeada de contactos y chats activos,generacion z y redes sociales,negativo
100,las redes sociales estan precarizando cognitivamente a las personas que ya no procesan informacion por si mismas,generacion z y redes sociales,negativo
101,la imposibilidad de expresar gustos sin insultos provoca que las nuevas generaciones eviten cada vez mas las redes,generacion z y redes sociales,negativo
102,crecieron hiperconectados protegidos fisicamente pero expuestos digitalmente con altos niveles de ansiedad y estres,generacion z y redes sociales,negativo
103,el uso de funciones como la geolocalizacion refleja una necesidad de control asociada a la ansiedad en la generacion z,generacion z y redes sociales,negativo
104,este estudio demuestra que la inteligencia artificial restringe la autonomia humana y reduce habilidades cognitivas y emocionales,autonomia humana e inteligencia artificial,negativo
105,la dependencia excesiva de la inteligencia artificial perjudica el pensamiento critico y la autonomia cognitiva humana,autonomia humana e inteligencia artificial,negativo
106,cuando la ia reemplaza el esfuerzo de comprender la memoria se debilita y la atencion se fragmenta,autonomia humana e inteligencia artificial,negativo
107,la inteligencia artificial esta reescribiendo la infancia creando adultos brillantes pero fragiles dentro de burbujas algoritmicas,autonomia humana e inteligencia artificial,negativo
108,el uso de chatgpt y otras ia en la universidad pone en riesgo el pensamiento critico por la delegacion cognitiva,autonomia humana e inteligencia artificial,negativo
109,la ia no es neutral amplifica prejuicios perpetua desigualdades y actua sin transparencia ni etica,autonomia humana e inteligencia artificial,negativo
110,delegar el razonamiento provoca perdida de memoria responsabilidad y anticipacion,autonomia humana e inteligencia artificial,negativo
111,la inteligencia artificial funciona como una nueva fase de control orientada a vigilar clasificar y moldear,autonomia humana e inteligencia artificial,negativo
112,el mayor riesgo de la inteligencia artificial es la concentracion de poder rentabilidad y control en pocas empresas,autonomia humana e inteligencia artificial,negativo
113,la presion por ser productivo todo el tiempo esta quemando a una generacion entera no todo en la vida debe ser rendimiento,generacion z y crisis de sentido,neutral
114,antes los proyectos de vida eran a largo plazo hoy la identidad cambia tan rapido como las tendencias en tiktok,cultura de lo efimero y proyectos de vida,neutral
115,cada vez que una app recomienda que ver o comprar se renuncia un poco mas a la libertad de eleccion,cultura de lo efimero y proyectos de vida,neutral
116,todo se mueve tan rapido que incluso los recuerdos parecen caducar y la cultura de lo efimero borra lo duradero,cultura de lo efimero y proyectos de vida,neutral
117,si los algoritmos determinan que contenido vemos se pone en duda si seguimos siendo sujetos libres,cultura de lo efimero y proyectos de vida,negativo
118,la costumbre de la recompensa instantanea vuelve imposibles los proyectos que requieren paciencia,generacion z y crisis de sentido,negativo
119,antes los proyectos de vida eran a largo plazo hoy la identidad cambia tan rapido como las tendencias digitales,ia y perdida de autonomia humana,positivo
120,antes los proyectos de vida eran a largo plazo hoy la identidad cambia con la velocidad de las tendencias,cultura de lo efimero y proyectos de vida,positivo
121,la recompensa instantanea dificulta sostener proyectos que exigen tiempo y esfuerzo,cultura de lo efimero y proyectos de vida,positivo
122,el ruido constante de las redes dificulta el silencio interior y el pensamiento profundo,ia y perdida de autonomia humana,negativo
123,si los algoritmos deciden que vemos se reduce la autonomia en la eleccion de contenido,ia y perdida de autonomia humana,neutral
124,cuando una app recomienda decisiones se pierde parte de la libertad personal,generacion z y crisis de sentido,positivo
125,la identidad juvenil se vuelve incierta por el exceso de opciones y la velocidad del cambio,ia y perdida de autonomia humana,neutral
126,la presion constante por la productividad genera desgaste existencial,ia y perdida de autonomia humana,neutral
127,la presion por mostrar una vida perfecta en redes reduce la autenticidad y fomenta validacion constante,cultura de lo efimero y proyectos de vida,neutral
128,la generacion z quiere cambiar el mundo pero queda atrapada en la inmediatez y el consumo constante,cultura de lo efimero y proyectos de vida,negativo
129,la velocidad de la cultura actual hace que incluso los recuerdos pierdan permanencia,generacion z y crisis de sentido,positivo
130,la influencia de los algoritmos cuestiona la libertad real de eleccion de las personas,cultura de lo efimero y proyectos de vida,positivo
131,el dilema existencial de la generacion z surge entre el deseo de cambio y el consumo inmediato,generacion z y crisis de sentido,positivo
132,existe duda sobre si la tecnologia libera del esfuerzo o convierte a las personas en espectadores pasivos,cultura de lo efimero y proyectos de vida,negativo
133,muchos jovenes sienten un vacio dificil de explicar vivimos hiperconectados pero cada dia mas solos,generacion z y crisis de sentido,positivo
134,la cultura actual esta obsesionada con lo nuevo y lo inmediato y deja poco espacio para la reflexion,generacion z y crisis de sentido,positivo
135,la recompensa instantanea vuelve imposibles los proyectos que requieren paciencia,ia y perdida de autonomia humana,positivo
136,la presion por mostrar una vida perfecta en redes reduce la autenticidad y fomenta validacion,cultura de lo efimero y proyectos de vida,positivo
137,la autonomia se vuelve difusa cuando delegamos decisiones importantes a la inteligencia artificial,generacion z y crisis de sentido,neutral
138,la presion por la productividad constante y el exceso de informacion generan confusion,cultura de lo efimero y proyectos de vida,neutral
139,existe duda sobre si la tecnologia libera del esfuerzo o vuelve pasiva a la vida,cultura de lo efimero y proyectos de vida,positivo
140,el ruido constante de las redes dificulta el pensamiento profundo,cultura de lo efimero y proyectos de vida,negativo
141,el exceso de informacion exige filtrar mas que aprender,cultura de lo efimero y proyectos de vida,positivo
142,la recompensa instantanea dificulta sostener proyectos a largo plazo,cultura de lo efimero y proyectos de vida,negativo
143,el exceso de informacion genera confusion cognitiva,ia y perdida de autonomia humana,neutral
144,la presion por mostrar perfeccion debilita los vinculos humanos,ia y perdida de autonomia humana,negativo
145,la recomendacion algoritimica reduce la libertad de eleccion,cultura de lo efimero y proyectos de vida,positivo
146,la sobrecarga informativa genera vacio y confusion existencial,generacion z y crisis de sentido,negativo
147,la velocidad cultural erosiona la permanencia y el sentido,generacion z y crisis de sentido,negativo
148,los algoritmos cuestionan la libertad real de eleccion,cultura de lo efimero y proyectos de vida,negativo
149,la tecnologia puede convertir a las personas en espectadoras pasivas,generacion z y crisis de sentido,positivo
150,buscar sentido en un mundo acelerado es un acto filosofico,generacion z y crisis de sentido,neutral
151,el ruido digital y la delegacion a la ia debilitan la autonomia,generacion z y crisis de sentido,negativo
152,la identidad cambia tan rapido como las tendencias digitales,ia y perdida de autonomia humana,positivo
153,la delegacion de decisiones a la ia debilita la autonomia,generacion z y crisis de sentido,neutral
154,la presion por mostrar perfeccion y la validacion constante afectan la autenticidad,cultura de lo efimero y proyectos de vida,positivo
155,la presion social y tecnologica dificulta la construccion de identidad,cultura de lo efimero y proyectos de vida,neutral
156,la recompensa instantanea erosiona la paciencia,generacion z y crisis de sentido,positivo
157,la cultura efimera erosiona proyectos de vida duraderos,cultura de lo efimero y proyectos de vida,negativo
158,la identidad digital es fragil y temporal,cultura de lo efimero y proyectos de vida,neutral
159,los algoritmos moldean decisiones personales,ia y perdida de autonomia humana,positivo
160,buscar sentido en el caos digital es un desafio humano,ia y perdida de autonomia humana,neutral
161,la prediccion emocional de la ia cuestiona la espontaneidad,ia y perdida de autonomia humana,neutral
162,la prediccion emocional automatizada reduce la espontaneidad,cultura de lo efimero y proyectos de vida,neutral
163,la incertidumbre futura y el control algoritimico limitan la libertad,cultura de lo efimero y proyectos de vida,positivo
164,la identidad cambia aceleradamente,generacion z y crisis de sentido,negativo
165,el vacio existencial aumenta en la hiperconectividad,ia y perdida de autonomia humana,negativo
166,la obsesion por lo inmediato reduce la reflexion,cultura de lo efimero y proyectos de vida,neutral
167,la velocidad cultural erosiona la memoria y la permanencia,cultura de lo efimero y proyectos de vida,neutral
168,la tecnologia genera dependencia pasiva,cultura de lo efimero y proyectos de vida,positivo
169,la autonomia humana se diluye por los algoritmos,ia y perdida de autonomia humana,neutral
170,la autonomia algoritimica afecta la toma de decisiones,ia y perdida de autonomia humana,positivo
171,la obsesion por la imagen afecta la autenticidad,cultura de lo efimero y proyectos de vida,positivo
172,los vinculos humanos se vuelven fragiles por la inmediatez,ia y perdida de autonomia humana,negativo
173,la identidad digital es inestable,cultura de lo efimero y proyectos de vida,negativo
174,la incertidumbre y el control tecnologico generan ansiedad,cultura de lo efimero y proyectos de vida,negativo
175,la delegacion cognitiva reduce el pensamiento critico,cultura de lo efimero y proyectos de vida,negativo
176,la delegacion algoritimica debilita la autonomia humana,ia y perdida de autonomia humana,neutral
177,la presion social y tecnologica fragmenta la identidad,cultura de lo efimero y proyectos de vida,negativo
178,la obsesion por la productividad desgasta la vida,ia y perdida de autonomia humana,negativo
179,la identidad cambia con la velocidad digital,ia y perdida de autonomia humana,neutral
180,la recomendacion automatica reduce la libertad,generacion z y crisis de sentido,negativo
181,los algoritmos moldean el comportamiento,ia y perdida de autonomia humana,neutral
182,la identidad digital es inestable y fragmentada,ia y perdida de autonomia humana,positivo
183,la velocidad cultural borra la permanencia,ia y perdida de autonomia humana,positivo
184,la presion social y la incertidumbre futura generan ansiedad,ia y perdida de autonomia humana,negativo
185,la cultura efimera erosiona la memoria,cultura de lo efimero y proyectos de vida,positivo
186,la identidad juvenil se vuelve incierta,generacion z y crisis de sentido,neutral
